"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"481","RT @Purples_Soccer: The Purple's Classic is cancelled due to heavy rains from Tropical Depression Harvey. Statement from Coach Gural regard…",FALSE,0,NA,2017-09-01 19:07:48,FALSE,NA,"903695904078749696",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BGsports",13,TRUE,FALSE,NA,NA
"482","RT @metofficestorms: Recent satellite imagery captures Tropical Depression #Harvey and Tropical Storms #Lidia and #Irma https://t.co/sF2Z0M…",FALSE,0,NA,2017-09-01 18:56:24,FALSE,NA,"903693038022561792",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ShaktiLila",12,TRUE,FALSE,NA,NA
"483","Cece Recall in the Barn (Tropical Depression Harvey) https://t.co/VEyhQqz2yn",FALSE,0,NA,2017-09-01 18:47:21,FALSE,NA,"903690757499797504",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","LegendAcres",0,FALSE,FALSE,NA,NA
"484","RT @nationalcouncil: Most people who live through a disaster will recover, but some can experience PTSD, anxiety, &amp; depression. #Unite4BH h…",FALSE,0,NA,2017-09-01 18:47:12,FALSE,NA,"903690723782000640",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","uroosa1223",23,TRUE,FALSE,NA,NA
"485","Tropical Depression Harvey brings steady rain to area https://t.co/x7vXdPiUk8",FALSE,0,NA,2017-09-01 18:46:14,FALSE,NA,"903690480608784384",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","EarthlyMails",0,FALSE,FALSE,NA,NA
"486","National Hurricane Center downgrades Harvey to a tropical depression but says catastrophic flooding continues https://t.co/6J0qumwsSQ",FALSE,0,NA,2017-09-01 18:28:41,FALSE,NA,"903686063675322368",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rj94_rod",0,FALSE,FALSE,NA,NA
"487","RT @NWSMemphis: Tropical Depression #Harvey dropped a large swath of 6"" rainfall yesterday. Henderson, TN was the hot spot w 10+ inches #ar…",FALSE,0,NA,2017-09-01 18:23:08,FALSE,NA,"903684664249942016",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lexingtontnpd",15,TRUE,FALSE,NA,NA
"488","Doctor who treated Katrina survivors warns #Harvey survivors to be aware of tetanus, norovirus, and depression. https://t.co/y9OnbaE4Ud",FALSE,2,NA,2017-09-01 18:22:43,FALSE,NA,"903684558520029185",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","cortney_dc",0,FALSE,FALSE,NA,NA
"489","Tropical Depression Harvey Drenches Delta Farmers with Harvest Underway https://t.co/FGvK1v5Iv3",FALSE,0,NA,2017-09-01 18:20:56,FALSE,NA,"903684111642046464",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PamSmithDTN",0,FALSE,FALSE,NA,NA
"490","RT @NWCC_Rangers: Tropical Depression Harvey Suspends Football Season-Opener vs Hinds. 

<ed><U+00A0><U+00BD><ed><U+00B3><U+00B0>Full story: https://t.co/4Vz6iP9ZRn https://t.co/…",FALSE,0,NA,2017-09-01 18:17:16,FALSE,NA,"903683189675307008",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ThaRealDill13",4,TRUE,FALSE,NA,NA
